signal_id,market_id,snapshot_type,snapshot_time_utc,best_bid,best_ask,yes_price
f2aec732-e4f5-4ac2-b0a6-a8efcbde7606,537486,1h,2026-01-21 04:12:41.403545+00:00,0.35,0.37,0.36
b8013814-a3b3-4c41-b42c-03e47da533e7,1065982,1h,2026-01-21 06:00:42.079459+00:00,0.17,0.19,0.18
9ce09590-b92e-42ba-bca7-077761eebfe3,1065911,1h,2026-01-21 08:18:46.932552+00:00,0.999,1,0.9995
4e78c77d-acc9-4650-b612-ed7fc4cdc0f2,1065912,1h,2026-01-21 08:51:12.518937+00:00,0.4,0.46,0.43
b88c95e1-1c76-4163-97e8-64964851f406,1065982,1h,2026-01-21 13:31:22.647491+00:00,0.91,0.95,0.93
f8c67fb6-a31b-4c7c-bde2-1d4f98a53724,613808,1h,2026-01-21 14:04:36.172621+00:00,0.46,0.629,0.5445
ab544cdb-1f3f-4ca5-8d6d-5342eacb937b,613808,1h,2026-01-21 18:15:52.095820+00:00,0.6,0.655,0.6275
7bfcfd04-c038-42dd-9ab5-a9044ae98422,1183881,1h,2026-01-21 18:15:52.095820+00:00,,0.001,0.0005
56cde1e6-0a81-4f29-958c-4a3d61b1cf4c,1183925,1h,2026-01-21 18:15:52.095820+00:00,,0.001,0.0005
1c06a262-389f-46d0-913c-abb92e106ab6,1065915,1h,2026-01-21 19:21:26.647171+00:00,0.4,0.63,0.515
4b4b97b4-572c-442b-8a42-1d6393927d49,1065916,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
c68d3623-b006-477f-a1df-812ddc9214b7,1065917,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
66f9f5d0-65eb-437c-a9c1-1ffd4dafa173,1065918,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.65,0.505
a226f061-d584-4f04-a427-2d935a7dec73,1065919,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
48b4822c-d9b8-436e-a676-05625d4db963,1065920,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.65,0.505
7073bc08-5123-498e-8c67-74c1fb40c2ae,1065921,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
1fb02e0b-b4ad-48ee-9145-6f501272e46a,1065988,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
af49ee14-72e6-4737-9f76-e3ee98ce6884,1065989,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
bfefe652-c618-4320-b862-788a7bc72a48,1065990,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
49a8f964-5900-4e3c-bd73-a915ae8b1777,1065991,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
1b3d40b2-310d-4808-ac2f-8202b4832a1a,1065992,1h,2026-01-21 19:21:26.647171+00:00,0.36,0.64,0.5
05036b4b-fd11-4edd-b8a3-293965aab702,1082793,1h,2026-01-21 19:21:26.647171+00:00,0.44,0.46,0.45
0f16b811-4a48-4aef-bf66-ba906378ddc3,1082797,1h,2026-01-21 19:21:26.647171+00:00,0.59,0.6,0.595
0b5d758e-8b62-43bd-9ac8-120dce71bc47,1217482,1h,2026-01-21 19:21:26.647171+00:00,0.43,0.46,0.445
e6d28e2f-e66a-4285-9721-67bd1e1619eb,1236230,1h,2026-01-21 21:05:50.244475+00:00,0.09,0.12,0.105
2891cb54-9ea8-43b1-8efb-ad432ca154bf,1032304,1h,2026-01-21 21:05:50.244475+00:00,0.325,0.429,0.377
5909aa0d-f2ac-4b2f-8c78-bafe1a3fd983,1082795,1h,2026-01-21 21:05:50.244475+00:00,0.31,0.34,0.325
e2f8b6b0-9d6f-4424-88fc-759500ceeaf3,1082797,1h,2026-01-21 21:05:50.244475+00:00,0.35,0.37,0.36
9579de8a-858f-40af-8bd9-f332f7c43319,1192702,1h,2026-01-21 21:05:50.244475+00:00,0.893,0.91,0.9015
622823a2-8458-4cd7-91d7-75ef98d5e860,1192705,1h,2026-01-21 21:05:50.244475+00:00,0.53,0.55,0.54
c64b3ac2-758c-4389-8353-11eed3206311,1217482,1h,2026-01-21 21:05:50.244475+00:00,0.19,0.21,0.2
8d6998f5-7f41-422c-9121-76dc8135c1c9,1236531,1h,2026-01-21 23:29:25.052644+00:00,0.91,0.92,0.915
fbd9b9ff-5140-46c0-8d4d-8bd29a77b729,1065983,1h,2026-01-21 23:47:52.254544+00:00,0.61,0.62,0.615
0d16b75f-97ff-4eb4-bc8e-b84be2e33f70,1236531,1h,2026-01-21 23:47:52.254544+00:00,0.91,0.94,0.925
f2aec732-e4f5-4ac2-b0a6-a8efcbde7606,537486,24h,2026-01-22 03:18:37.546918+00:00,0.27,0.28,0.275
9f95eff3-65d6-4cf4-85ce-0e46906bde89,1236531,1h,2026-01-22 03:18:37.546918+00:00,,0.001,0
b8013814-a3b3-4c41-b42c-03e47da533e7,1065982,24h,2026-01-22 05:00:39.231832+00:00,0.999,1,1
9ce09590-b92e-42ba-bca7-077761eebfe3,1065911,24h,2026-01-22 07:19:41.639726+00:00,0.999,1,1
4e78c77d-acc9-4650-b612-ed7fc4cdc0f2,1065912,24h,2026-01-22 07:44:27.816991+00:00,0.2,0.21,0.205
e4458eba-7ec7-488f-afc2-744c0d18f409,1065983,1h,2026-01-22 07:44:27.816991+00:00,0.33,0.49,0.41
b88c95e1-1c76-4163-97e8-64964851f406,1065982,24h,2026-01-22 12:37:57.160074+00:00,0.999,1.0,1
fa293c8a-4646-4eb5-a612-e30621c49a2c,663472,1h,2026-01-22 12:37:57.160074+00:00,0.24,0.27,0.255
9f3359f8-e78e-43f8-a754-c10585ae48bb,920347,1h,2026-01-22 12:37:57.160074+00:00,0.071,0.078,0.0745
f8c67fb6-a31b-4c7c-bde2-1d4f98a53724,613808,24h,2026-01-22 13:31:23.239177+00:00,0.11,0.619,0.3645
3e050546-85e4-492f-b52b-cdaf193ed877,663472,1h,2026-01-22 13:31:23.239177+00:00,0.24,0.27,0.255
ab544cdb-1f3f-4ca5-8d6d-5342eacb937b,613808,24h,2026-01-22 14:04:39.478578+00:00,,0.239,0.1195
cdf4e1e8-3cc9-42fe-907d-1f2391f8e987,690701,1h,2026-01-22 14:04:39.478578+00:00,0.76,0.81,0.785
a1093be8-3372-435b-8adc-eecafe20372e,690702,1h,2026-01-22 14:04:39.478578+00:00,0.39,0.42,0.405
7bfcfd04-c038-42dd-9ab5-a9044ae98422,1183881,24h,2026-01-22 15:03:59.091612+00:00,,0.001,0
56cde1e6-0a81-4f29-958c-4a3d61b1cf4c,1183925,24h,2026-01-22 15:03:59.091612+00:00,,0.001,0
2bd6deaf-8284-498e-9bb4-154dce7c673d,1192651,1h,2026-01-22 15:42:37.789660+00:00,0.021,0.033,0.027
bdb902dd-33aa-424d-a4c5-b1b2539b50e0,1192705,1h,2026-01-22 15:42:37.789660+00:00,0.05,0.06,0.055
bf351908-6dcd-41db-8714-b0e8579a9fa0,1192705,1h,2026-01-22 16:48:51.219682+00:00,0.004,0.009,0.0065
42453ee9-ddd9-4e87-b95d-916697506f7c,1065983,1h,2026-01-22 17:17:07.458737+00:00,0.5,0.78,0.64
9c2fe21b-0022-49c9-8d06-857d7d58d190,1065983,1h,2026-01-22 18:00:39.098875+00:00,0.28,0.34,0.31
1c06a262-389f-46d0-913c-abb92e106ab6,1065915,24h,2026-01-22 18:36:22.401246+00:00,0.34,0.39,0.365
4b4b97b4-572c-442b-8a42-1d6393927d49,1065916,24h,2026-01-22 18:36:22.401246+00:00,0.4,0.57,0.485
c68d3623-b006-477f-a1df-812ddc9214b7,1065917,24h,2026-01-22 18:36:22.401246+00:00,0.36,0.48,0.42
66f9f5d0-65eb-437c-a9c1-1ffd4dafa173,1065918,24h,2026-01-22 18:36:22.401246+00:00,0.35,0.58,0.465
a226f061-d584-4f04-a427-2d935a7dec73,1065919,24h,2026-01-22 18:36:22.401246+00:00,0.45,0.58,0.515
48b4822c-d9b8-436e-a676-05625d4db963,1065920,24h,2026-01-22 18:36:22.401246+00:00,0.4,0.6,0.5
7073bc08-5123-498e-8c67-74c1fb40c2ae,1065921,24h,2026-01-22 18:36:22.401246+00:00,0.4,0.6,0.5
1fb02e0b-b4ad-48ee-9145-6f501272e46a,1065988,24h,2026-01-22 18:36:22.401246+00:00,0.3,0.4,0.35
af49ee14-72e6-4737-9f76-e3ee98ce6884,1065989,24h,2026-01-22 18:36:22.401246+00:00,0.37,0.51,0.44
bfefe652-c618-4320-b862-788a7bc72a48,1065990,24h,2026-01-22 18:36:22.401246+00:00,0.37,0.56,0.465
49a8f964-5900-4e3c-bd73-a915ae8b1777,1065991,24h,2026-01-22 18:36:22.401246+00:00,0.35,0.58,0.465
1b3d40b2-310d-4808-ac2f-8202b4832a1a,1065992,24h,2026-01-22 18:36:22.401246+00:00,0.35,0.57,0.46
05036b4b-fd11-4edd-b8a3-293965aab702,1082793,24h,2026-01-22 18:36:22.401246+00:00,0.27,0.28,0.275
0f16b811-4a48-4aef-bf66-ba906378ddc3,1082797,24h,2026-01-22 18:36:22.401246+00:00,0.44,0.45,0.445
0b5d758e-8b62-43bd-9ac8-120dce71bc47,1217482,24h,2026-01-22 18:36:22.401246+00:00,0.15,0.17,0.16
88192d0a-14f1-49ed-b9cb-bd3c0139bf10,613851,1h,2026-01-22 18:36:22.401246+00:00,0.004,0.005,0.0045
d1f0138d-5d46-4a2b-88f1-f8ff8af0203c,613853,1h,2026-01-22 18:36:22.401246+00:00,0.01,0.056,0.033
10fc6ac5-8f4b-485f-bfe5-b68de386c829,690703,1h,2026-01-22 18:36:22.401246+00:00,0.4,0.44,0.42
6abdeab8-615b-4713-988b-2ec6e0d25593,690702,1h,2026-01-22 18:36:22.401246+00:00,0.83,0.86,0.845
96b6865b-a885-4075-9881-1115d9262a12,1065983,1h,2026-01-22 18:36:22.401246+00:00,0.15,0.2,0.175
